,name_normalized,total_points
20739,alex mccarthy,0
20740,alex mccarthy,0
20741,alex mccarthy,0
20742,alex mccarthy,0
20743,alex mccarthy,0
20744,alex oxlade-chamberlain,0
20745,alex oxlade-chamberlain,0
20746,alex oxlade-chamberlain,0
20747,alex oxlade-chamberlain,0
20748,alex oxlade-chamberlain,0
20749,alex oxlade-chamberlain,0
20750,alex oxlade-chamberlain,0
20751,alex oxlade-chamberlain,0
20752,alex oxlade-chamberlain,0
20753,alex oxlade-chamberlain,0
20754,alex oxlade-chamberlain,0
20755,alex oxlade-chamberlain,0
20756,alex oxlade-chamberlain,0
20757,alex oxlade-chamberlain,0
20758,alex oxlade-chamberlain,0
20759,alex oxlade-chamberlain,0
20760,alex oxlade-chamberlain,0
20761,alex oxlade-chamberlain,0
20762,alex oxlade-chamberlain,0
20763,alex oxlade-chamberlain,0
20764,alex oxlade-chamberlain,0
20765,alex oxlade-chamberlain,0
20766,alex oxlade-chamberlain,0
20767,alex oxlade-chamberlain,0
20768,alex oxlade-chamberlain,0
20769,alex oxlade-chamberlain,0
20770,alex oxlade-chamberlain,0
20771,alex oxlade-chamberlain,0
20772,alex oxlade-chamberlain,0
20773,alex oxlade-chamberlain,0
20774,alex oxlade-chamberlain,0
20775,alex oxlade-chamberlain,0
20776,alex oxlade-chamberlain,0
20777,alex oxlade-chamberlain,0
20778,alex oxlade-chamberlain,0
20779,alex oxlade-chamberlain,1
20780,alex oxlade-chamberlain,0
20781,alex oxlade-chamberlain,1
20782,alex pritchard,1
20783,alex pritchard,2
20784,alex pritchard,0
20785,alex pritchard,0
20786,alex pritchard,0
20787,alex pritchard,1
20788,alex pritchard,2
20789,alex pritchard,2
20790,alex pritchard,2
20791,alex pritchard,2
20792,alex pritchard,3
20793,alex pritchard,8
20794,alex pritchard,3
20795,alex pritchard,1
20796,alex pritchard,2
20797,alex pritchard,1
20798,alex pritchard,2
20799,alex pritchard,2
20800,alex pritchard,2
20801,alex pritchard,3
20802,alex pritchard,1
20803,alex pritchard,3
20804,alex pritchard,1
20805,alex pritchard,0
20806,alex pritchard,1
20807,alex pritchard,0
20808,alex pritchard,0
20809,alex pritchard,3
20810,alex pritchard,3
20811,alex pritchard,2
20812,alex pritchard,1
20813,alex pritchard,2
20814,alex pritchard,1
20815,alex pritchard,0
20816,alex pritchard,0
20817,alex pritchard,1
20818,alex pritchard,2
20819,alex pritchard,9
20820,alex smithies,0
20821,alex smithies,0
20822,alex smithies,0
20823,alex smithies,0
20824,alex smithies,0
20825,alex smithies,0
20826,alex smithies,0
20827,alex smithies,0
20828,alex smithies,0
20829,alex smithies,0
20830,alex smithies,0
20831,alex smithies,0
20832,alex smithies,0
20833,alex smithies,0
20834,alex smithies,0
20835,alex smithies,0
